"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Pineapple","....Camiguin",3.75,3.85,3.92,2.59,7.75,5.20,2.63,2.67,2.64,2.66,1.30,3.86,2.24,2.29,2.06,0.97,0.60,0.53,3.45,5.96,11.25,4.52,3.79,3.21,2.01,1.60,1.66,2.29,2.63
"Pineapple","....Lanao del Norte",244.52,261.99,258.33,257.39,260.61,315.10,445.25,575.45,575.45,652.00,803.26,823.63,1011.69,988.65,992.14,1005.74,1008.64,1025.50,1174.10,1135.00,1028.00,990.00,953.25,955.22,965.00,950.50,933.45,894.00,866.00
"Pineapple","....Misamis Occidental",27.26,21.00,15.65,15.44,15.48,14.57,27.35,209.00,490.84,160.00,80.00,70.20,52.07,24.14,11.47,12.25,15.65,15.13,14.70,14.32,15.40,10.26,11.05,11.10,10.06,9.78,12.20,13.85,16.10
"Pineapple","....Misamis Oriental",2604.00,2947.68,2520.00,2841.60,3888.00,4499.04,5034.24,3712.80,1944.00,3108.00,2960.80,3108.84,3171.02,3125.16,3272.33,3231.67,3245.31,3484.16,4935.09,11400.00,38677.85,39704.00,14616.00,12099.20,36475.00,46750.00,53123.00,69406.00,71728.00
"Pineapple","..REGION XI (DAVAO REGION)",23196.39,10712.41,10955.29,11131.62,11468.03,11922.93,12893.98,13266.02,12081.09,13406.73,15736.21,15947.37,16533.25,17060.91,18103.76,19114.27,19411.00,22452.09,22303.26,22440.11,22839.79,25305.97,28161.72,28078.67,28097.38,26880.26,26300.86,25978.26,26716.29
"Pineapple","....Compostela Valley",..,..,..,..,..,..,..,..,..,1078.36,1096.13,1107.09,1110.34,1068.08,1080.71,963.60,921.79,874.89,858.54,821.59,794.64,579.28,485.81,224.93,148.01,128.69,110.77,101.15,99.64
"Pineapple","....Davao del Norte",441.64,637.40,662.00,749.89,808.15,938.92,1084.76,1237.48,1227.31,126.61,135.47,149.02,154.29,168.61,181.75,182.33,184.60,208.76,220.57,222.41,221.99,208.93,198.24,194.07,205.01,210.24,207.96,204.42,200.10
"Pineapple","....Davao del Sur",64.68,67.11,64.20,64.68,66.35,68.08,75.03,77.70,75.99,74.94,70.63,72.37,72.85,72.52,71.94,66.08,50.31,38.32,34.13,31.27,29.64,28.49,29.00,28.34,29.15,29.81,28.36,29.15,30.04
"Pineapple","....Davao Oriental",188.07,220.95,205.80,197.38,219.13,241.48,266.11,279.42,251.47,276.62,235.43,245.61,254.85,262.30,263.15,266.95,260.67,241.22,226.20,211.07,202.22,200.25,184.25,163.58,164.80,158.75,159.33,164.29,164.28
"Pineapple","......City of Davao",22502.00,9786.95,10023.29,10119.68,10374.40,10674.45,11468.08,11671.43,10526.31,11850.19,14198.55,14373.28,14940.91,15489.41,16506.21,17635.31,17993.63,21088.90,20963.82,21153.77,21591.30,24289.02,27264.42,27467.75,27550.41,26352.77,25794.44,25479.25,26222.23
"Pineapple","..REGION XII (SOCCSKSARGEN)",652768.41,563441.30,644361.01,696523.23,714590.11,710070.61,686184.33,716924.64,665642.39,598640.52,585015.30,604260.26,607819.94,611073.13,619177.14,636449.87,649301.06,803760.80,913280.18,879835.94,813250.64,794841.38,800055.05,806075.97,804254.12,794333.93,766695.14,792054.06,808027.29
"Pineapple","....Cotabato",161.80,178.75,199.84,240.31,275.93,272.14,368.15,402.49,380.89,466.53,420.05,251.29,338.28,311.97,326.52,289.24,231.98,196.51,175.13,172.67,160.80,165.16,168.22,172.97,470.88,638.63,3872.54,13324.79,14301.82
"Pineapple","....Sarangani",..,..,..,47.22,61.20,79.17,92.96,122.38,171.55,392.99,515.76,2302.09,4391.20,6444.00,16406.25,24935.00,36563.50,114881.50,172716.00,123874.00,58429.00,35451.00,33134.00,32155.00,28794.00,21859.00,21625.00,19100.00,16820.00
