"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","....Misamis Occidental",1.00,15.00,3.00,4.00,7.00,28.00,14.00,6.00,4.00,2.00,20.80,26.62,58.50,28.84,16.45,65.35,42.32,45.20,47.20,66.33,75.38,77.43,79.64,76.88,79.34,68.50,107.10,98.52,69.20
"Abaca","....Misamis Oriental",9.00,22.00,20.00,66.00,68.00,18.00,1.00,432.00,82.00,43.30,29.00,29.15,7.34,24.16,86.17,295.98,71.09,74.33,96.45,105.05,120.92,119.20,380.00,550.50,615.00,635.00,610.65,633.85,649.00
"Abaca","..REGION XI (DAVAO REGION)",5823.00,5038.00,4624.00,4688.00,5088.00,5308.00,5706.00,6749.00,7755.00,10622.71,10781.98,8644.85,8031.86,9196.99,12185.58,10296.34,8900.73,9554.47,10247.15,10212.45,10241.65,9226.22,8839.16,7268.63,8127.16,8300.21,8088.90,8438.55,8587.89
"Abaca","....Compostela Valley",..,..,..,..,..,..,..,..,..,806.50,952.79,1046.22,462.16,112.50,360.17,181.27,119.36,807.75,1447.28,1470.74,1499.88,994.33,847.98,459.62,517.03,552.96,495.82,587.16,589.08
"Abaca","....Davao del Norte",1851.00,1283.00,1371.00,1487.00,1511.00,1606.00,1937.00,1416.00,1004.00,227.50,205.54,211.91,635.00,676.64,443.59,495.43,522.36,360.37,349.46,417.29,466.45,303.29,254.70,233.40,241.93,251.66,239.54,227.47,219.07
"Abaca","....Davao del Sur",1683.00,1489.00,1216.00,1185.00,1564.00,1717.00,1360.00,1491.00,1431.00,3209.40,3130.82,2941.25,2066.66,2509.61,4189.69,4227.17,3266.59,3323.22,3349.39,3205.12,3134.48,2930.57,2979.84,3067.33,3205.70,3227.82,3140.97,3347.97,3518.43
"Abaca","....Davao Oriental",2284.00,2256.00,2031.00,2004.00,1999.00,1969.00,2391.00,3824.00,5303.00,6359.70,6463.17,4412.53,4836.00,5875.32,7169.94,5370.58,4970.77,5041.05,5079.03,5097.31,5118.41,4975.98,4732.11,3484.41,4138.28,4242.67,4185.77,4229.75,4202.41
"Abaca","......City of Davao",5.00,10.00,6.00,12.00,14.00,16.00,18.00,18.00,17.00,19.61,29.66,32.95,32.04,22.92,22.19,21.89,21.65,22.08,21.99,21.99,22.43,22.05,24.53,23.87,24.22,25.10,26.80,46.20,58.90
"Abaca","..REGION XII (SOCCSKSARGEN)",826.00,971.00,819.00,1042.00,810.00,727.00,721.00,508.00,730.00,553.70,411.18,1317.95,535.89,985.14,816.11,866.02,709.06,726.81,740.99,800.34,828.15,878.06,916.48,953.65,1048.80,1051.44,1027.10,1062.83,1125.14
"Abaca","....Cotabato",238.00,262.00,57.00,50.00,77.00,76.00,48.00,64.00,19.00,35.80,34.83,575.07,3.17,2.97,6.78,8.21,9.92,8.59,13.12,13.73,13.29,13.22,24.73,47.70,52.71,63.74,45.97,43.65,45.43
