"Corn:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..REGION XI (DAVAO REGION)","Average Quantity Applied",2.25,2.34,2.46,3.34,3.08,2.71,2.98,2.98,1.69,2.32,2.01,2.31
"..REGION XI (DAVAO REGION)","Urea",1.03,1.16,1.14,1.40,1.35,1.06,1.43,1.36,0.73,1.08,1.02,1.17
"..REGION XI (DAVAO REGION)","Ammosul",0.34,0.34,0.29,0.50,0.38,0.39,0.38,0.43,0.49,0.52,0.25,0.31
"..REGION XI (DAVAO REGION)","Ammophos",0.12,0.08,0.17,0.27,0.27,0.28,0.24,0.28,0.06,0.06,0.07,0.07
"..REGION XI (DAVAO REGION)","Complete",0.76,0.76,0.87,1.17,1.03,0.94,0.91,0.89,0.41,0.65,0.65,0.76
"..REGION XI (DAVAO REGION)","Others",..,..,..,0.01,0.04,0.04,0.02,0.01,..,..,0.02,..
"..REGION XI (DAVAO REGION)","Area Harvested",195783.00,203420.00,200409.00,204304.00,196848.00,188362.00,174674.00,153282.00,149081.00,146077.00,159378.00,169306.00
"..REGION XII (SOCCSKSARGEN)","Area Applied",390437.00,331135.00,363001.00,346100.00,482566.00,428419.00,340494.00,323791.00,427050.00,422173.29,430007.00,286618.68
"..REGION XII (SOCCSKSARGEN)","Average Quantity Applied",5.16,5.72,5.20,5.50,4.26,4.50,4.09,4.22,4.26,5.02,3.41,4.60
"..REGION XII (SOCCSKSARGEN)","Urea",2.59,2.86,2.32,2.86,2.20,2.19,1.98,1.84,2.46,2.41,1.68,2.35
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.16,0.21,0.32,0.50,0.29,0.30,0.39,0.69,0.40,0.59,0.31,0.38
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.87,0.74,1.09,0.62,0.68,0.83,0.63,0.34,0.53,0.67,0.33,0.48
"..REGION XII (SOCCSKSARGEN)","Complete",1.54,1.90,1.45,1.37,1.07,1.10,1.07,1.35,0.84,1.17,1.08,1.38
"..REGION XII (SOCCSKSARGEN)","Others",0.01,0.02,0.03,0.14,0.02,0.08,0.02,..,0.04,0.18,0.01,..
"..REGION XII (SOCCSKSARGEN)","Area Harvested",421326.00,418019.00,398343.00,419039.00,418594.00,430221.00,430182.00,405644.00,427050.00,429319.00,430007.00,428556.00
"..REGION XIII (CARAGA)","Area Applied",27908.00,31019.00,34095.00,21890.00,29776.00,45530.00,21824.00,31768.86,31554.00,33556.36,38017.00,50324.62
"..REGION XIII (CARAGA)","Average Quantity Applied",3.35,3.39,2.27,2.36,3.45,2.69,2.93,3.03,3.25,3.37,3.30,4.45
"..REGION XIII (CARAGA)","Urea",1.56,1.71,0.93,1.05,1.32,0.99,1.71,1.71,1.79,1.80,1.38,2.29
"..REGION XIII (CARAGA)","Ammosul",0.47,0.28,0.24,0.24,0.62,0.10,0.46,0.69,0.84,0.67,0.80,1.24
"..REGION XIII (CARAGA)","Ammophos",0.22,0.31,0.11,0.07,0.16,0.45,0.10,0.04,0.03,0.06,0.13,0.10
"..REGION XIII (CARAGA)","Complete",0.98,1.05,0.73,0.99,1.35,1.16,0.64,0.60,0.59,0.84,0.83,0.82
"..REGION XIII (CARAGA)","Others",0.12,0.04,0.25,0.01,..,..,0.01,..,..,..,0.16,..
"..REGION XIII (CARAGA)","Area Harvested",49839.00,57055.00,55765.00,44869.00,57514.00,50470.00,39520.00,39601.00,31554.00,33830.00,38017.00,41957.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",223975.00,81688.00,32404.00,95671.00,149587.00,293350.00,236222.00,301239.00,284134.00,298505.93,275964.00,145196.62
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Average Quantity Applied",4.02,1.46,4.41,3.48,4.11,2.55,2.51,2.31,2.73,2.71,2.74,2.62
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",1.05,0.88,2.63,1.80,1.78,1.17,1.25,1.12,1.19,1.19,1.20,1.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",1.16,0.18,0.25,0.10,0.19,0.14,0.18,0.26,0.36,0.35,0.35,0.32
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.97,0.18,0.40,0.37,0.14,0.11,0.22,0.16,0.25,0.24,0.23,0.01
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.82,0.22,1.14,1.21,2.00,1.13,0.86,0.78,0.93,0.93,0.94,1.29
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",0.02,0.01,..,..,..,..,..,..,..,..,..,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Harvested",281596.00,289977.00,265328.00,277541.00,312164.00,295922.00,332065.00,312329.00,284128.00,298812.00,275964.00,277590.00
